Lap;K01;K02;K03;K04;K05;K06;K07;K08;K09;K10
1;81,83;75,87;85,29;78,93;78,33;74,96;71,27;72,58;84,85;83,66
2;76,07;70,72;78,39;72,92;72,94;71,6;68,81;67,8;76,24;74,48
3;76,07;71,18;76,57;74,54;71,08;70,27;67,67;70,11;75,3;73,68
4;73,07;70,51;81,74;71,3;71,39;69,77;72,88;71,64;75,96;76,45
5;72,88;70,29;79,02;71,35;71,34;69,1;74,93;67,37;74,55;72,18
6;75,49;70,08;76,61;70,59;70,7;70,8;67,76;67,6;72,37;72,72
7;71,46;69,36;76,43;70,22;71,37;69,89;68,38;66,74;71,54;70,66
8;74;70,19;81,02;70,23;74,31;69,63;67,18;66,79;71,81;72,27
9;70,43;70,11;75,04;72,7;72,22;68,88;69,27;66,92;71,07;69,55
10;70,03;69,05;73,78;69,38;69,4;68,94;67,49;66,41;70,69;68,4
11;69,9;69,15;;69,48;71,12;68,52;67,75;66,19;70,43;73,16
12;;;;;;68,94;69,12;66,92;;
